# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : DEURNE
# Series code : 201
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1976,2.1,-0.3,-0.6,2.4,8.6,12.6,14.8,12.2,9.3,7.4,4.2,-1.6
1977,0.9,1.6,3.0,2.4,8.2,11.4,13.4,12.6,8.6,7.2,4.4,2.3
1978,0.6,-1.6,2.5,2.5,8.6,10.5,10.6,10.9,10.2,6.8,3.2,0.0
1979,-5.7,-2.5,1.4,3.7,7.2,11.6,12.6,11.3,9.2,7.2,2.4,3.7
1980,-1.7,2.3,1.3,3.3,7.0,10.7,12.2,13.3,10.7,5.0,2.0,0.4
1981,0.8,-1.4,5.0,4.3,8.4,11.2,13.0,12.3,9.9,5.7,3.4,-1.6
1982,-1.6,-0.1,2.2,3.5,7.7,12.7,14.4,13.5,10.7,7.6,5.4,1.1
1983,3.2,-2.2,2.0,4.7,7.6,12.2,15.8,13.5,10.7,6.8,2.2,1.4
1984,1.4,-0.1,0.0,3.2,7.6,10.6,12.6,13.4,10.7,7.8,5.5,2.1
1985,-6.7,-4.6,0.6,5.3,8.9,10.5,13.3,11.9,10.1,6.6,0.3,3.7
1986,0.4,-6.2,0.6,3.1,8.6,12.1,13.6,11.2,7.2,7.7,4.8,2.2
1987,-4.5,-0.6,-0.4,6.3,7.2,11.1,13.7,13.2,10.9,6.3,4.1,1.1
1988,3.5,1.2,2.4,3.7,9.4,11.9,12.7,12.6,10.9,7.1,1.8,5.3
1989,1.9,1.4,4.0,3.0,9.0,10.8,14.3,12.8,10.7,8.6,1.8,1.6
1990,3.0,3.6,3.7,3.6,8.5,11.3,11.8,13.6,9.3,8.3,3.2,1.4
1991,0.8,-4.1,4.4,3.6,6.5,10.3,14.7,13.1,10.5,6.7,2.8,0.6
1992,0.6,1.5,3.7,4.9,10.9,13.0,14.0,14.3,10.2,4.3,5.0,1.5
1993,2.2,-0.1,0.2,5.9,10.0,12.1,13.2,11.4,9.6,6.1,-0.1,3.0
1994,2.5,-1.2,4.0,4.4,8.3,11.7,15.8,13.2,10.5,5.4,7.0,2.7
1995,1.3,3.9,1.3,5.0,8.1,11.0,15.4,14.6,10.7,7.8,2.3,-2.8
1996,-1.6,-1.7,-0.4,3.6,6.8,11.6,12.2,12.6,8.7,6.1,3.4,-1.5
1997,-4.5,3.5,4.8,3.1,8.2,11.8,13.2,15.3,8.8,5.7,3.7,2.6
1998,1.6,1.9,4.0,5.4,10.5,12.5,12.9,12.6,11.5,6.9,0.6,2.2
1999,3.5,0.6,2.6,5.4,10.0,11.2,15.1,12.6,13.0,7.2,3.5,2.9
2000,2.3,2.9,3.8,5.3,11.3,12.0,12.5,13.3,12.5,8.8,5.4,3.1
2001,0.2,1.8,3.2,4.9,9.9,11.2,14.9,14.2,10.3,10.6,3.8,0.3
2002,1.3,4.7,3.6,5.1,9.7,12.6,14.3,14.8,10.7,6.2,5.0,1.6
2003,0.0,-2.6,3.0,4.6,9.2,13.6,14.7,14.6,9.0,3.8,4.4,1.3
2004,1.1,2.7,1.6,5.4,7.8,11.8,12.8,15.2,11.6,7.8,3.8,0.3
2005,2.8,-0.2,2.7,5.7,9.2,12.9,14.5,12.3,11.2,8.7,3.7,1.3
2006,-2.3,0.3,0.6,4.9,9.7,11.4,16.8,12.9,12.8,9.2,5.8,3.6
2007,5.1,2.8,3.4,6.6,10.2,13.6,13.5,12.7,10.4,6.5,4.0,1.3
2008,4.3,0.5,3.8,4.6,10.8,12.4,14.1,13.9,9.3,6.3,4.2,0.3
2009,-3.1,0.8,2.0,6.5,9.6,12.0,14.6,13.1,10.9,7.0,6.8,-0.5
2010,-3.4,-0.8,2.6,4.1,7.2,11.9,15.5,13.6,10.1,6.1,4.0,-3.8
2011,1.7,2.1,1.9,7.9,9.4,12.2,12.6,13.2,11.4,7.4,3.7,4.1
2012,3.0,-3.0,4.2,4.2,10.1,11.6,13.6,14.1,10.1,6.8,3.9,2.7
2013,-0.7,-0.5,-1.2,3.7,7.8,11.6,15.3,13.9,10.6,8.3,3.9,2.9
2014,3.2,3.0,2.7,7.3,9.1,11.7,15.3,12.7,11.9,10.1,4.6,2.5
2015,1.2,-0.2,2.1,4.1,8.6,11.5,14.4,14.1,10.0,6.2,6.7,7.3
2016,2.1,2.1,1.4,4.4,9.8,13.6,14.6,13.5,12.5,6.1,3.1,1.4
2017,-1.5,2.6,3.8,3.6,10.0,14.3,14.1,13.4,9.6,10.2,4.6,2.6
2018,3.3,-2.2,0.7,6.9,10.9,13.8,16.2,14.7,10.2,6.8,3.0,3.6
2019,1.4,1.1,4.7,4.9,7.8,13.1,14.4,14.0,10.5,9.0,2.5,2.5
2020,3.4,4.3,3.2,5.6,8.2,13.3,12.9,15.9,10.6,8.6,5.1,3.1
