# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : EZEMAAL
# Series code : 206
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
2006,-2.0,0.4,0.6,4.3,9.3,10.6,15.1,12.8,12.4,9.7,5.6,3.3
2007,4.9,3.1,3.0,4.6,9.6,13.1,12.7,11.8,9.4,5.7,3.3,1.2
2008,3.6,0.9,3.5,4.3,9.6,11.7,13.0,13.4,8.3,6.3,3.9,-0.1
2009,-3.8,0.6,2.1,6.4,8.9,10.6,13.9,11.8,9.8,6.2,7.0,-0.5
2010,-3.1,0.0,2.8,2.9,6.4,10.8,14.3,12.9,8.9,5.4,3.8,-3.7
2011,1.3,1.8,1.5,6.2,8.4,11.4,11.7,12.8,10.8,6.8,2.8,3.6
2012,2.3,-4.4,3.2,3.8,9.2,11.0,13.0,13.0,8.3,6.0,3.9,2.4
2013,-0.5,-0.9,-1.1,3.6,7.2,11.0,13.8,12.3,9.2,8.2,3.1,2.4
2014,2.8,3.3,2.2,5.8,7.9,10.5,14.5,12.3,10.8,10.0,4.9,2.1
2015,0.9,-0.1,1.8,3.5,7.8,10.8,13.9,13.5,9.1,5.4,6.2,6.8
2016,1.8,1.8,1.2,3.8,9.1,13.5,14.4,12.8,11.6,5.7,3.1,0.5
