# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : LEOPOLDSBURG
# Series code : 216
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1968,-1.1,-0.9,1.9,3.0,6.4,10.0,11.4,13.2,10.2,7.9,2.3,-2.4
1969,1.6,-3.1,-0.8,2.9,8.4,9.4,12.8,12.0,9.1,6.8,3.2,-3.8
1970,-1.1,-2.3,-0.9,2.2,7.3,10.8,11.0,11.3,9.2,6.7,4.4,-1.1
1971,-1.0,0.0,-2.5,2.4,8.2,9.6,10.9,11.9,6.6,4.3,1.0,2.3
1972,-1.3,0.2,0.9,3.5,7.1,9.0,12.5,10.8,6.4,3.4,3.0,0.9
1973,-0.1,-0.4,-0.6,1.6,7.6,10.7,12.2,12.1,9.6,3.8,1.4,-0.6
1974,2.5,0.9,1.8,2.8,5.8,9.2,11.2,11.0,8.4,3.6,3.2,4.6
1975,3.6,-0.8,1.8,3.4,5.7,9.5,12.5,13.3,10.4,4.3,1.1,-0.6
1976,1.4,-0.9,-1.7,1.1,7.7,11.4,13.5,10.8,8.6,7.4,3.9,-2.3
1977,0.4,1.4,2.5,0.9,6.7,10.2,11.9,10.7,7.2,6.7,4.1,1.9
1978,0.3,-2.2,2.2,1.7,7.7,10.0,10.0,9.7,8.5,6.0,2.3,-0.4
1979,-6.7,-3.1,1.3,3.2,6.3,10.7,11.0,10.0,7.3,6.7,2.0,3.1
1980,-2.5,1.6,1.1,2.1,5.5,10.4,11.2,12.4,10.1,4.6,1.5,0.2
1981,-0.6,-2.3,4.6,3.4,8.1,10.5,12.2,11.0,9.2,5.0,2.5,-1.9
1982,-3.1,-1.3,0.9,2.1,6.6,11.5,13.3,12.3,10.2,7.8,5.1,0.9
1983,2.7,-2.8,1.6,4.2,7.4,11.0,14.3,12.3,9.5,5.5,0.7,0.5
1984,0.9,-0.8,-1.1,1.6,6.0,8.8,10.9,11.8,9.8,7.6,4.5,0.9
1985,-7.7,-6.2,0.3,3.9,8.4,9.6,12.0,10.7,8.8,5.6,-0.3,3.0
1986,-0.4,-8.4,-0.2,1.9,7.6,11.1,11.4,10.0,5.3,6.3,4.2,1.7
1987,-6.3,-2.3,-1.3,3.9,5.2,9.8,11.9,10.7,9.6,5.9,3.2,0.5
1988,3.3,1.0,2.0,2.9,9.2,10.3,12.3,11.6,10.0,6.6,1.3,5.0
1989,0.6,0.7,3.6,2.5,7.0,9.1,11.8,11.2,9.2,8.2,0.4,1.2
1990,2.9,3.7,3.1,2.4,6.5,10.7,10.1,11.2,7.4,7.6,2.6,0.8
1991,-0.2,-5.6,3.9,2.0,4.6,9.3,14.0,11.1,8.6,5.4,1.9,-0.2
1992,-0.4,0.8,2.8,3.3,8.8,10.9,12.8,13.3,9.2,3.2,4.3,1.5
1993,1.5,-0.9,-0.1,6.1,9.6,11.0,11.9,9.5,8.4,5.6,-0.8,2.4
1994,1.7,-1.7,3.0,3.6,7.2,10.2,14.7,12.5,9.6,4.0,6.4,2.1
1995,0.4,3.4,0.9,4.0,6.4,10.4,14.7,12.9,9.3,7.6,1.6,-2.9
1996,-1.3,-1.8,-1.2,1.4,6.2,9.7,11.1,11.9,7.2,5.3,2.6,-2.2
1997,-5.3,2.9,3.6,1.4,7.4,11.1,12.6,14.3,7.4,4.8,3.3,2.0
1998,1.4,0.3,2.7,4.9,8.9,11.7,11.9,10.7,11.6,6.1,-0.1,1.6
1999,2.9,-1.0,2.6,5.0,8.9,9.7,13.9,11.6,12.2,6.5,2.1,1.5
2000,1.0,1.7,3.0,4.9,10.3,11.0,11.7,12.2,11.5,7.6,5.0,2.9
2001,-0.3,0.9,2.9,4.0,8.7,9.1,13.8,12.7,9.0,10.7,2.2,-0.9
2002,1.0,4.1,2.3,2.8,7.7,10.2,12.3,12.9,8.7,5.4,4.0,1.6
2003,-0.6,-2.6,2.9,3.1,8.2,12.3,13.2,12.6,6.3,2.6,3.8,0.5
2004,-0.1,1.0,0.5,4.2,5.8,9.9,11.7,13.9,10.1,6.7,2.2,-1.1
2005,1.4,-1.6,1.6,4.3,7.4,10.8,13.7,10.2,9.5,8.3,2.8,0.5
2006,-3.3,-0.1,-0.1,3.8,9.3,10.1,15.9,12.3,12.0,9.2,4.7,2.9
2007,4.4,2.5,2.8,4.9,9.8,13.3,12.5,11.4,8.5,5.2,2.3,0.8
2008,3.3,0.0,2.6,3.5,9.6,11.1,13.0,13.3,8.5,5.3,3.0,-0.8
2009,-4.8,0.3,1.2,5.7,8.2,10.2,13.7,11.5,9.4,5.7,6.6,-1.0
2010,-3.4,-0.8,1.7,2.7,5.7,10.3,14.2,12.4,8.9,5.4,3.4,-4.3
2011,0.5,1.5,0.7,5.8,7.9,11.2,11.6,12.2,10.7,6.7,3.0,3.4
2012,2.0,-4.7,2.7,3.2,9.0,10.9,12.7,13.1,8.1,5.8,3.6,2.3
2013,-0.1,-1.1,-1.9,3.1,6.9,10.4,14.0,12.3,8.9,8.2,2.5,2.1
2014,2.7,2.8,1.5,5.6,8.2,10.0,14.5,11.2,10.2,9.4,5.1,2.0
2015,0.4,-0.9,1.1,2.4,7.0,10.3,14.0,13.7,9.1,5.5,6.0,6.9
2016,1.7,1.3,0.6,3.5,8.9,13.1,14.1,12.4,11.1,5.6,2.9,0.2
2017,-2.4,1.9,3.1,1.5,9.2,13.1,13.3,12.5,9.3,9.5,3.3,2.5
2018,2.9,-3.0,0.3,6.5,9.5,13.0,14.2,12.7,8.4,5.7,2.8,2.7
2019,0.2,-0.1,3.8,4.2,6.4,12.6,13.0,12.5,8.8,9.0,2.7,2.5
2020,2.5,3.7,2.2,4.3,6.4,12.3,11.8,14.6,8.9,8.1,4.3,2.5
2021,0.8,0.5,1.5,0.7,6.2,13.2,13.7,12.6,10.2,6.4,2.0,2.5
2022,1.6,2.6,0.2,3.4,8.6,11.4,12.2,13.7,9.3,7.8,4.9,0.7
2023,2.7,0.7,3.2,3.9,8.7,13.5,13.4,13.3,12.0,8.9,5.3,4.4
