# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : STAVELOT
# Series code : 219
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1964,-4.4,-0.5,-2.2,1.9,5.5,8.2,9.4,9.1,7.3,2.2,2.9,-2.3
1965,-0.8,-5.8,-1.9,1.6,5.0,8.5,9.3,9.0,6.8,1.4,-1.4,1.2
1966,-5.1,1.9,-1.8,2.9,4.9,9.2,9.3,9.2,6.6,7.0,-0.9,0.2
1967,-1.4,-0.3,0.8,-0.4,5.0,7.8,9.9,9.0,6.8,6.8,-0.3,-2.7
1968,-3.2,-1.9,-0.8,0.5,4.6,7.6,10.1,10.8,8.3,6.0,0.9,-3.1
1969,0.2,-5.2,-1.5,0.6,6.5,7.4,11.9,10.7,5.8,4.4,2.0,-4.6
1970,-1.6,-4.0,-3.4,1.0,5.3,9.6,9.4,9.9,7.8,5.9,2.6,-2.2
1971,-2.8,-1.3,-4.7,0.6,6.4,7.9,9.6,10.4,4.9,2.2,-0.3,0.8
1972,-2.3,-1.0,-2.1,1.9,5.4,7.4,11.4,9.9,4.4,1.1,2.1,-1.0
1973,-2.1,-2.1,-2.7,0.5,5.5,8.9,10.8,10.4,7.8,3.2,1.0,-1.7
1974,1.6,-0.4,0.9,0.1,3.2,7.1,9.1,9.1,6.9,2.7,2.1,3.3
1975,2.1,-3.0,-0.4,1.1,2.8,7.1,9.9,10.4,8.5,2.1,0.2,-1.4
1976,1.4,-1.0,-3.9,-0.7,4.2,8.1,10.7,6.7,6.5,5.7,2.5,-3.4
1977,-1.8,0.6,0.4,0.5,4.6,8.9,9.7,9.5,5.7,6.0,1.8,0.5
1978,-0.8,-3.9,0.1,1.3,6.0,8.5,8.3,7.9,7.5,3.7,-1.1,-1.3
1979,-8.4,-4.4,-0.4,0.7,3.8,10.1,9.4,8.8,6.6,5.6,0.7,2.0
1980,-4.1,-0.2,-0.2,0.3,3.0,8.3,9.3,10.5,8.4,3.9,0.1,-2.2
1981,-2.2,-5.2,2.6,2.3,6.0,8.9,11.0,10.5,7.2,3.7,1.8,-3.1
1982,-4.5,-3.3,-1.4,-0.3,4.4,10.1,10.8,9.8,8.0,5.7,3.5,0.1
1983,0.8,-5.3,-0.1,2.5,4.9,9.7,12.3,10.2,7.4,4.0,-0.8,-0.4
1984,-0.9,-3.2,-3.3,-1.0,3.8,7.3,8.8,9.8,8.6,6.0,3.2,0.1
1985,-9.1,-6.6,-2.2,1.7,6.2,7.7,9.9,8.1,7.0,2.8,-2.4,1.0
1986,-1.8,-11.2,-2.0,0.7,5.7,9.0,9.6,9.1,3.9,4.9,3.0,-0.1
1987,-7.8,-3.5,-3.3,1.6,3.0,8.6,10.8,9.9,9.2,5.2,1.7,-0.3
1988,1.9,-0.7,-0.2,0.6,7.0,8.8,9.5,9.4,8.2,5.5,0.0,3.9
1989,-0.1,-0.9,1.7,2.0,4.7,7.5,10.8,10.2,7.5,5.9,-0.8,-0.4
1990,0.7,1.1,1.1,0.2,4.7,8.6,8.4,10.2,6.2,5.7,2.3,-0.5
1991,-1.4,-7.1,1.6,-0.6,2.6,7.6,11.7,9.3,6.9,3.2,0.5,-2.1
1992,-1.8,-0.8,0.6,1.4,4.9,9.4,11.0,11.5,6.7,1.6,3.3,0.3
1993,-0.1,-4.0,-3.2,3.4,7.1,8.9,10.8,7.4,7.5,4.7,-2.0,1.5
1994,0.6,-2.6,1.4,1.6,5.7,9.3,13.2,10.4,7.5,3.3,6.6,1.6
1995,-1.8,1.4,-1.1,3.1,5.1,8.2,13.0,10.7,7.4,7.6,1.1,-3.1
1996,-2.0,-3.1,-2.9,0.1,4.6,7.8,9.4,10.3,5.4,3.8,2.0,-3.5
1997,-6.0,0.9,1.9,-0.1,5.4,9.0,10.5,12.1,5.2,3.2,1.7,1.4
1998,-0.5,-2.1,0.4,3.6,6.7,9.8,10.3,8.8,9.6,4.8,-1.3,0.6
1999,0.7,-3.1,0.5,3.0,6.6,8.1,11.2,10.0,10.1,4.7,0.2,0.7
2000,-1.2,-0.2,1.0,2.9,7.4,8.7,10.4,10.2,9.1,6.0,3.5,1.8
2001,-1.2,-0.9,1.5,1.9,6.6,7.5,11.1,10.4,7.7,8.3,0.4,-2.7
