# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : OOSTENDE
# Series code : 212
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
2008,3.2,0.2,3.5,3.6,10.5,10.7,13.0,12.6,9.6,6.4,5.1,0.5
2009,-2.4,0.1,2.1,5.8,8.0,11.6,12.7,11.8,11.2,7.7,6.7,0.5
2010,-2.0,-0.5,2.1,3.9,6.3,11.1,13.4,12.8,10.3,7.0,3.8,-2.5
2011,1.9,2.5,1.9,7.1,8.4,10.7,11.9,12.5,11.1,8.6,4.3,4.0
2012,3.0,-2.7,3.2,4.0,8.8,10.7,12.4,12.8,9.5,7.3,4.2,2.6
2013,-0.9,-0.8,-0.5,3.1,6.5,10.6,13.9,13.2,10.4,8.5,4.4,2.8
2014,2.7,3.0,2.8,6.3,8.7,11.5,14.4,11.4,11.6,10.2,5.6,2.6
2015,1.5,0.3,2.0,3.5,7.7,10.7,13.0,12.8,9.3,6.8,7.4,7.2
2016,2.5,2.3,2.0,3.5,9.1,11.9,13.1,13.2,12.6,6.6,3.8,1.7
2017,-0.9,2.9,4.3,3.9,9.1,13.3,13.2,12.6,9.7,10.3,4.6,2.7
2018,2.9,-1.3,0.5,6.7,9.7,12.6,14.7,13.7,9.6,7.6,4.0,3.4
2019,1.3,1.3,4.6,4.8,7.2,11.8,13.2,12.5,10.7,8.8,3.3,2.6
2020,2.9,4.1,2.7,5.4,7.9,12.0,12.2,14.9,9.6,8.6,5.5,3.3
